page_title,email_addresses,phone_numbers,facebook,instagram,linkedin,twitter,github
"Immigration Attorney Boston, MA | Goldstein Immigration Lawyers",[],"['(617) 722-0005', '+6177220005', '617-722-0005', '152702566949', '1023012002', '(999) 999-9999', '225348221832']","['https://www.facebook.com/Immigration.Visa.Lawyer', 'https://www.facebook.com/tr']",['https://www.instagram.com/joshisimmigration'],[],['https://twitter.com/AttyImmigration'],[]
"Immigration Lawyer, Asylum Law, Deportation Defense | San Francisco, CA | The Law Offices of Robert Jobe",[],"['156959930068', '156824118322', '158273852544', '156408701504', '156538286414', '415-956-5513', '(415) 956-5513', '122.4020839', '122.3998952', '4159565513']","['http://www.facebook.com/JobeLawOffice', 'https://www.facebook.com/JobeLawOffice']",[],[],[],[]
Criminal Lawyer Boston | Coughlin Law Group,[],"['(617) 758-8888', '1579125305', '617-758-8888', '102573927158', '157614117115', '157675094222', '157675080192', '6177588888', '(999) 999-9999', '1195741288', '1049504825', '1100683364', '617.758.8888', '8557588811', '855.758.8811']","['https://www.facebook.com/CoughlinLawGroup/', 'https://www.facebook.com/CoughlinLaw/']",[],[],['https://twitter.com/CLGpc'],[]
Vindicate Law | Criminal Defense Attorneys in Washington,[],"['+18882124824', '888.212.4824', '6666666667', '666666666667', '3333333333', '333333333333', '122.3343989', '122.3322102', '+12063095013', '206-309-5013', '122.2000788', '122.1978901', '+14252303765', '425-230-3765', '122.4395864', '122.4373977', '+12533004762', '253-300-4762']",[],[],[],[],[]
Best San Francisco Civil Rights Lawyers & Law Firms - California | FindLaw,[],"['1598138183', '1598138520', '160365756847', '+18007682168', '800-768-2168', '1598138428', '1598109331', '1598384000', '155348564494']","['https://www.facebook.com/FindLawConsumers', 'https://www.facebook.com/tr']",[],[],['https://twitter.com/findlawconsumer'],[]
Best Detroit Business & Commercial Lawyers & Law Firms - Michigan | FindLaw,[],"['1598138183', '1598138520', '160365757151', '8583846492', '160365757152', '+12486419955', '248-641-9955', '+12483496203', '248-349-6203', '+12482900400', '248-290-0400', '+12482181473', '248-218-1473', '+13136727300', '313-672-7300', '1598138428', '1598109331', '1598384000', '155348564494']","['https://www.facebook.com/FindLawConsumers', 'https://www.facebook.com/tr']",[],[],['https://twitter.com/findlawconsumer'],[]
The Right DUI Lawyer | Michigan DWI Attorney Jeffrey Randa,['jrandalaw@gmail.com'],"['1599185313', '248-986-9700', '586-465-1980', '178432273950', '586-465-5966', '1599185314']",['https://www.facebook.com/jjrandalaw'],[],[],['https://twitter.com/DUILawyerMI'],[]
Best Seattle Criminal Defense Lawyers & Law Firms - Washington | FindLaw,[],"['1598138183', '1598138520', '160365757119', '+12062039331', '206-203-9331', '+14253667240', '425-366-7240', '+12065363129', '206-536-3129', '1598138428', '(206) 477-1400', '(206) 205-9200', '(206) 684-5600', '1598109331', '1598384000', '155348564494']","['https://www.facebook.com/FindLawConsumers', 'https://www.facebook.com/tr']",[],[],['https://twitter.com/findlawconsumer'],[]
Boston Business Attorneys | Cape Cod MA Business Planning Lawyers | Massachusetts Commercial Litigation Firm,[],"['888-759-5109', '250150065069', '1913580780']",['https://www.facebook.com/profile.php'],[],[],[],[]
"Choquette Law Group - US Immigration Lawyer in Seattle, WA",[],"['+12062691200', '602043151855', '122.285171508', '206.269.1200', '810408997392', '(206) 269-1200', '(206) 269-1201']","['http://www.facebook.com/choquettelaw', 'https://www.facebook.com/choquettelaw']",[],[],['https://twitter.com/choquettelaw'],[]
NY Criminal Defense | NYC Criminal Lawyer | Julie Rendelman,[],"['212-951-1232', '(212)-951-1232', '(212) 951-1232', '089.306521433', '146110829053', '+12129511232', '212.951.1232']",[],[],[],"['https://twitter.com/julie_rendelman?ref_src=twsrc%5Etfw"" class=""twitter-follow-button"" data-show-count=""false"">Follow @julie_rendelman</a><script async src=""https://platform.twitter.com/widgets']",[]
Michigan DUI Lawyer | Detroit Drunk Driving Defense Lawyers Barone Defense Firm,['rasha.luice@baronedefensefirm.com'],"['(248) 306-9158', '1602868717', '248-306-9158', '616-365-5780', '1602868718']",['https://www.facebook.com/BaroneDefenseFirm/'],[],[],['https://twitter.com/dui_attorney_mi'],[]
Detroit MI Civil Rights Attorney | Troy Age Discrimination Lawyer,[],"['248-918-4542', '888-832-1706', '248-269-9119']",['https://www.facebook.com/akeelvalentine/'],[],[],['https://twitter.com/AkeelValentine'],[]
Detroit Immigration Lawyer (25 years) | Herman Legal Group,['richardtmherman@gmail.com'],"['1603592018', '+18008084013', '800-808-4013', '+13136815775', '(313) 681-5775', '(800) 808-4013', '177094599999', '1603657123', '1999999999']",['https://www.facebook.com/ClevelandImmigrationLaw/'],[],[],['https://twitter.com/ImmigrantInc'],[]
"Home - Sutter Law, A San Francisco Business Law Firm","['eric@sutterlegal.com', 'Eric@sutterlegal.com']","['(415) 341-2888', '060-160134312', '14153412888', '415-341-2888', '1496371029', '1496371058', '1496370977', '0136349623', '122.4080241']",[],[],[],[],[]
"Detroit Criminal Defense Attorney - Kevin Bessant, Tough & Affordable",['kevin@kevinbessantlaw.com'],"['313-658-8159', '151001892745', '(313) 447-2551']","['https://www.facebook.com/TheLawOfficesOfKevinBessantAndAssociates', 'https://www.facebook.com/TheLawOfficesOfKevinBessantAndAssociates/']",[],[],['https://twitter.com/BessantLawOffic/'],[]
"Civil Rights Attorney in New York City & Boston, Massachusetts - Charnas Law Firm",['scharnas@charnaslawfirm.com'],"['212-980-6800', '116878902680', '262824561225', '10000000000', '8669804499', '(866) 980-4499', '6175574700', '(617) 557-4700', '2129806800', '(212) 980-6800', '7986450980', '29313512655', '332851539492', '(999) 999-9999']","['https://www.facebook.com/tr', 'https://www.facebook.com/CharnasLaw/']",[],[],[],[]
Best San Francisco Immigration Lawyers & Law Firms - California | FindLaw,[],"['1598138183', '1598138520', '160365757108', '+14159062321', '415-906-2321', '+18883440892', '888-344-0892', '+14089400106', '408-940-0106', '+14159491725', '415-949-1725', '9195053111', '+18663086317', '866-308-6317', '1598138428', '1598109331', '1598384000', '155348564494']","['https://www.facebook.com/FindLawConsumers', 'https://www.facebook.com/tr']",[],[],['https://twitter.com/findlawconsumer'],[]
Top-Rated NYC Criminal Defense Lawyers | The Blanch Law Firm,['New-PNC@BlanchPC.com'],"['(212) 736-3900', '2127363900', '201907211403', '212-736-3900', '(212) 669-2879', '212-736-5170', '(718) 546-0700', '(212) 243-1313', '1592257495']",['https://www.facebook.com/theblanchlawfirm/'],[],[],['https://twitter.com/blanchlawfirm'],['https://github.com/jonsuh/']
